LECROYHDO6054,4546,Waveform
Segments,1,SegmentSize,20002
Segment,TrigTime,TimeSinceSegment1
#1,15-Nov-2019 16:21:52,0                 
Time,Ampl
-3.8166491,0.01345
-3.8156491,0.0104333
-3.8146491,0.00770833
-3.8136491,0.00505
-3.8126491,0.004575
-3.8116491,0.00608889
-3.8106491,0.00943056
-3.8096491,0.0125778
-3.8086491,0.0155778
-3.8076491,0.0173167
-3.8066491,0.0177
-3.8056491,0.0168611
-3.8046491,0.0160111
-3.8036491,0.0153167
-3.8026491,0.0150194
-3.8016491,0.0151778
-3.8006491,0.0156806
-3.7996491,0.0160889
-3.7986491,0.0160917
-3.7976491,0.0157278
-3.7966491,0.0150778
-3.7956491,0.0143528
-3.7946491,0.0138806
-3.7936491,0.0140056
-3.7926491,0.0143639
-3.7916491,0.0146694
-3.7906491,0.0148139
-3.7896491,0.0151417
-3.7886491,0.0156361
-3.7876491,0.0164778
-3.7866491,0.0175417
-3.7856491,0.0185861
-3.7846491,0.0190583
-3.7836491,0.0187139
-3.7826491,0.0177028
-3.7816491,0.0163778
-3.7806491,0.0151611
-3.7796491,0.0142222
-3.7786491,0.014
-3.7776491,0.0142833
-3.7766491,0.0150139
-3.7756491,0.0158083
-3.7746491,0.0166944
-3.7736491,0.0173056
-3.7726491,0.0176028
-3.7716491,0.0175389
-3.7706491,0.0174333
-3.7696491,0.0173056
-3.7686491,0.0171889
-3.7676491,0.0171083
-3.7666491,0.0171306
-3.7656491,0.0171861
-3.7646491,0.0170306
-3.7636491,0.0168028
-3.7626491,0.0167361
-3.7616491,0.0169056
-3.7606491,0.0173722
-3.7596491,0.0183639
-3.7586491,0.0199083
-3.7576491,0.0218556
-3.7566491,0.0240167
-3.7556491,0.0258306
-3.7546491,0.0271222
-3.7536491,0.0276111
-3.7526491,0.0275972
-3.7516491,0.0270333
-3.7506491,0.0262472
-3.7496491,0.0251194
-3.7486491,0.0236917
-3.7476491,0.0217778
-3.7466491,0.01975
-3.7456491,0.0179583
-3.7446491,0.0167556
-3.7436491,0.0167694
-3.7426491,0.0173583
-3.7416491,0.0182722
-3.7406491,0.0191083
-3.7396491,0.0203722
-3.7386491,0.0211528
-3.7376491,0.0217194
-3.7366491,0.0217972
-3.7356491,0.0215889
-3.7346491,0.0202528
-3.7336491,0.0181222
-3.7326491,0.0158528
-3.7316491,0.0140639
-3.7306491,0.0128889
-3.7296491,0.0123917
-3.7286491,0.0126167
-3.7276491,0.0131167
-3.7266491,0.01365
-3.7256491,0.0142917
-3.7246491,0.0152639
-3.7236491,0.0166111
-3.7226491,0.0179806
-3.7216491,0.0192472
-3.7206491,0.0196944
-3.7196491,0.0193111
-3.7186491,0.0181278
-3.7176491,0.0169333
-3.7166491,0.0158139
-3.7156491,0.0151861
-3.7146491,0.0151667
-3.7136491,0.0155778
-3.7126491,0.0160833
-3.7116491,0.01655
-3.7106491,0.0169361
-3.7096491,0.0170361
-3.7086491,0.0169556
-3.7076491,0.0167667
-3.7066491,0.0163528
-3.7056491,0.0158556
-3.7046491,0.0153167
-3.7036491,0.0148278
-3.7026491,0.0140611
-3.7016491,0.0135306
-3.7006491,0.0133083
-3.6996491,0.013425
-3.6986491,0.0135694
